Dataset,Accuracy,F1-Score,Precision,Recall
No anonymization (Baseline),0.8178333333333333,0.47325301204819276,0.6368352788586251,0.37653374233128833
"ARX Credit Card Clients, k = 3",0.8153333333333334,0.4708691499522445,0.6240506329113924,0.37806748466257667
"ARX Credit Card Clients, k = 5",0.8133333333333334,0.46919431279620855,0.6141439205955335,0.379601226993865
"ARX Credit Card Clients, k = 10",0.8146666666666667,0.46946564885496184,0.6212121212121212,0.3773006134969325
"ARX Credit Card Clients, k = 15",0.815,0.463768115942029,0.6266318537859008,0.36809815950920244
"ARX Credit Card Clients, k = 5, l = 2",0.8151666666666667,0.47465656087162483,0.620817843866171,0.38420245398773006
"ARX Credit Card Clients, k = 5, l = 4",0.8166666666666667,0.48015122873345933,0.625615763546798,0.3895705521472393
"ARX Credit Card Clients, k = 5, t = 0.3",0.8145,0.46618705035971225,0.6222791293213829,0.3726993865030675
"ARX Credit Card Clients, k = 5, t = 0.15",0.8096666666666666,0.4493731918997107,0.6051948051948052,0.35736196319018404
"DP Credit Card Clients, epsilon = 10.0",0.725,0.3668457405986186,0.3671274961597542,0.3665644171779141
"DP Credit Card Clients, epsilon = 5.0",0.7338333333333333,0.1464457509353287,0.24162257495590828,0.10506134969325154
"DP Credit Card Clients, epsilon = 3.0",0.6955,0.2018348623853211,0.23451776649746192,0.17714723926380369
"DP Credit Card Clients, epsilon = 1.0",0.6921666666666667,0.17507815989280928,0.20962566844919786,0.15030674846625766
"DP Credit Card Clients, epsilon = 0.5",0.7256666666666667,0.2055984555984556,0.27734375,0.1633435582822086
"Combined Credit Card Clients, k = 3 + epsilon = 0.5",0.6975,0.18280054029716344,0.22137404580152673,0.15567484662576686
"Combined Credit Card Clients, k = 3 + epsilon = 1.0",0.7258333333333333,0.10936654033567948,0.1860036832412523,0.07745398773006135
"Combined Credit Card Clients, k = 3 + epsilon = 3.0",0.6943333333333334,0.16560509554140126,0.203579418344519,0.13957055214723926
"Combined Credit Card Clients, k = 5 + epsilon = 0.5",0.7171666666666666,0.19228938600666348,0.2534504391468005,0.1549079754601227
"Combined Credit Card Clients, k = 5 + epsilon = 1.0",0.7051666666666667,0.08578811369509044,0.13153724247226625,0.06365030674846625
"Combined Credit Card Clients, k = 5 + epsilon = 3.0",0.7003333333333334,0.18421052631578946,0.22555555555555556,0.15567484662576686
