Dataset,BlackBox_Accuracy,BlackBox_Balanced_Accuracy,BlackBox_Precision,BlackBox_Recall,BlackBox_F1,BlackBox_F1_Score
No anonymization (Baseline),0.7138344914718888,0.5852177705689217,0.6361215511079085,0.5852177705689217,0.5961812855209082,0.6096088602782548
"ARX MEPS, k = 3",0.9473573383870288,0.9283336239639888,0.952377243655458,0.9283336239639888,0.9395344449641816,0.9402017430809089
"ARX MEPS, k = 5",0.9349336702463676,0.9107965770272336,0.936352538437084,0.9107965770272336,0.9225871578609204,0.9233977698491141
"ARX MEPS, k = 10",0.9180880185302168,0.8918045453846423,0.9167058016361592,0.8918045453846423,0.903351506368726,0.9040837416565756
"ARX MEPS, k = 15",0.9164034533586018,0.8848219826160199,0.914014741092246,0.8848219826160199,0.8981712904549793,0.8991814817815229
"ARX MEPS, k = 5, l = 2",0.9317751105495894,0.9041990835525476,0.9344801030580088,0.9041990835525476,0.9179755351297166,0.9190902457983919
"ARX MEPS, k = 5, l = 3",0.9216677195198988,0.896449010987764,0.9266229861894744,0.896449010987764,0.9102679276606984,0.9112862912866359
"ARX MEPS, k = 5, t = 0.3",0.9229311433986104,0.8998475252960126,0.929453955245914,0.8998475252960126,0.9133597121646058,0.9144111568278561
"ARX MEPS, k = 5, t = 0.15",0.9296694040850706,0.901476663793797,0.9264294189613728,0.901476663793797,0.9129868956291172,0.9137827262841763
"DP MEPS, epsilon = 10.0",0.5161086544535691,0.3861995603827151,0.4152890102877618,0.3861995603827151,0.377413123554189,0.40021639502791295
"DP MEPS, epsilon = 5.0",0.5194777847967993,0.3853939744806582,0.3976756117210465,0.3853939744806582,0.3755421846292795,0.39143848070667786
"DP MEPS, epsilon = 3.0",0.5095809644135607,0.3773162939557897,0.4029993385695191,0.3773162939557897,0.3677594488197744,0.3897351547439455
"DP MEPS, epsilon = 1.0",0.5325331648768161,0.3950747777533925,0.4305794228312193,0.3950747777533925,0.3857213993398356,0.4120637178610109
"DP MEPS, epsilon = 0.5",0.543903979785218,0.4023538915878192,0.419984538031859,0.4023538915878192,0.3925615462984108,0.4109802173832088
"Combined MEPS, k = 3 + epsilon = 0.5",0.5276900400084228,0.4472291921791747,0.4464651912650427,0.4472291921791747,0.4454532718330871,0.44684686515778893
"Combined MEPS, k = 3 + epsilon = 1.0",0.5148452305748579,0.4357834116780812,0.4360715738635918,0.4357834116780812,0.4357034015889352,0.43592744514970305
"Combined MEPS, k = 3 + epsilon = 3.0",0.4699936828806064,0.4117366869825544,0.4054044305529838,0.4117366869825544,0.4059268043071009,0.40854602354941494
"Combined MEPS, k = 5 + epsilon = 0.5",0.4600968624973678,0.3592811132247271,0.364284306155733,0.3592811132247271,0.3538636893531682,0.3617654120562951
"Combined MEPS, k = 5 + epsilon = 1.0",0.5382185723310171,0.4122438765984151,0.4122058355374816,0.4122438765984151,0.4040418309645772,0.41222485519031915
"Combined MEPS, k = 5 + epsilon = 3.0",0.4782059380922299,0.3985215613496151,0.3987235146783351,0.3985215613496151,0.3986209213080438,0.3986225124351737
