Anonymization_Configuration,mean_distance,median_distance,min_distance,max_distance,std_distance,percentile_1st,percentile_5th,percentile_10th,percentile_25th,percentile_75th,percentile_90th,percentile_95th,percentile_99th,exact_matches_%,near_matches_1pct_%,near_matches_5pct_%,near_matches_10pct_%
No anonymization (Baseline),1.5972402902690361,1.444850926685936,0.0,4.524650509593813,1.1153755589546959,0.0,0.0,0.011764705882169955,0.20156000782470357,2.4516025922016986,3.1638345035055293,3.4664073912425137,3.785356558966831,9.244051379237735,9.244051379237735,18.677616340282167,21.962518424931567
"ARX MEPS, k = 3",1.3779201817916484,1.1002358979518305,1.0,4.6678839354315125,0.6281329160155399,1.0,1.0006226435277592,1.001728609760376,1.0198039027185566,1.3181721642757014,2.2957940023934498,2.894771233816042,3.70581628966131,0.0,0.0,0.0,0.0
"ARX MEPS, k = 5",1.9704952793644401,1.7830808065339483,1.7320508075688772,4.63839695106201,0.44287423454024477,1.7320508075688772,1.7324103655717606,1.7330493956066155,1.743559577416269,1.9078784028338915,2.6551770935144567,3.0550987368229734,3.756529896571299,0.0,0.0,0.0,0.0
"ARX MEPS, k = 10",1.9550238837540341,1.7776388834631187,1.7320508075688772,4.623112026199976,0.4337985537607631,1.7320508075688772,1.7322106203398007,1.7330493956066155,1.7410174808175005,1.8933502281683623,2.3800520891720893,3.0484209871101675,3.738428530851967,0.0,0.0,0.0,0.0
"ARX MEPS, k = 15",2.1857017480135688,2.0351241003452913,2.0,4.581882052390699,0.37299342179119116,2.0,2.0001384035156162,2.000864864905288,2.0088386012697876,2.1329187890197883,2.5263031309909705,3.1235919237616745,3.8103391483311206,0.0,0.0,0.0,0.0
"ARX MEPS, k = 5, l = 2",1.9706502610827412,1.7830808065339483,1.7320508075688772,4.63839695106201,0.44278649130861825,1.7320508075688772,1.7324103655717606,1.7330493956066155,1.743559577416269,1.9078784028338915,2.655867634720533,3.05497052107545,3.7559680674493627,0.0,0.0,0.0,0.0
"ARX MEPS, k = 5, l = 3",1.9389546812826373,1.7724926244716013,1.7320508075688772,4.617686952974908,0.40849546489387706,1.7320508075688772,1.7322106203398007,1.7330493956066155,1.7410174808175005,1.879372640667983,2.3397161861093316,3.0066592756745814,3.6777086108151122,0.0,0.0,0.0,0.0
"ARX MEPS, k = 5, t = 0.3",1.9419351806953196,1.775028631768687,1.7320508075688772,4.548298621911904,0.4110248518470343,1.7320508075688772,1.7320907621439765,1.7330493956066155,1.7410174808174983,1.8839698937492693,2.345556471149527,3.01031960259641,3.693792207794938,0.0,0.0,0.0,0.0
"ARX MEPS, k = 5, t = 0.15",2.4178432609342724,2.2736644811867865,2.23606797749979,4.842485881406546,0.3548100512296459,2.23606797749979,2.2361917702241008,2.23684156962724,2.2439769441666635,2.3670459595019415,2.7352877925290557,3.335351177019961,3.9454563655062302,0.0,0.0,0.0,0.0
"DP MEPS, epsilon = 10.0",2.0578325962864294,2.0075758582802457,0.12142224603100925,5.493921570969751,1.0634408866484026,0.12153618182299003,0.12278249778369014,0.12703746510604022,1.4224990562694966,2.8293841273873377,3.194037877586701,3.748949811857389,4.707826080773792,0.0,0.0,0.0,0.0
