Anonymization_Configuration,mean_distance,median_distance,exact_matches_%,near_matches_1pct_%
No anonymization (Baseline),1.5972402902690361,1.444850926685936,9.244051379237735,9.244051379237735
ARX MEPS k = 5,1.9704952793644404,1.7830808065339483,0.0,0.0
ARX MEPS k = 10,1.955023883754034,1.7776388834631187,0.0,0.0
ARX MEPS k = 20,2.181629611712922,2.032980664104517,0.0,0.0
"ARX MEPS, k = 5, l = 2",1.9706502610827417,1.7830808065339483,0.0,0.0
"ARX MEPS, k = 5, l = 3",1.9389546812826368,1.7724926244716013,0.0,0.0
"ARX MEPS, k = 5, t = 0.2",2.1980912759551243,2.041947642083503,0.0,0.0
"ARX MEPS, k = 5, t = 0.1",2.3909800831785235,2.26670295969957,0.0,0.0
"DP MEPS, epsilon = 10.0",2.0578325962864294,2.0075758582802457,0.0,0.0
"DP MEPS, epsilon = 5.0",2.0282523961475416,2.0250144371139758,0.0,0.0
"DP MEPS, epsilon = 3.0",2.0207187751212383,2.010127077814533,0.0,0.0
"DP MEPS, epsilon = 1.0",2.133993044610416,2.0909377244904834,0.0,0.0
"DP MEPS, epsilon = 0.5",2.1953819816774005,2.4502382055595056,0.0,0.0
