Dataset,Accuracy,F1-Score,Precision,Recall
No anonymization (Baseline),0.8524952621604548,0.4563445867287544,0.6533333333333333,0.35062611806797855
"ARX MEPS, k = 3",0.9728363866077069,0.9191729323308271,0.9683168316831683,0.8747763864042933
"ARX MEPS, k = 5",0.9418825015792799,0.8075313807531381,0.9722921914357683,0.6905187835420393
"ARX MEPS, k = 10",0.9403032217308908,0.8012618296529969,0.9719387755102041,0.6815742397137746
"ARX MEPS, k = 15",0.9327226784586229,0.7667031763417306,0.9887005649717514,0.6261180679785331
"ARX MEPS, k = 5, l = 2",0.9365129500947568,0.7854855923159018,0.9735449735449735,0.6583184257602862
"ARX MEPS, k = 5, l = 3",0.9453569172457359,0.8261306532663316,0.9426605504587156,0.7352415026833632
"ARX MEPS, k = 5, t = 0.3",0.965255843335439,0.8948374760994264,0.9609856262833676,0.8372093023255814
"ARX MEPS, k = 5, t = 0.15",0.9747315224257739,0.9246704331450094,0.9761431411530815,0.8783542039355993
"DP MEPS, epsilon = 10.0",0.7987997473152243,0.3343782654127482,0.4020100502512563,0.28622540250447226
"DP MEPS, epsilon = 5.0",0.8032217308907138,0.25210084033613445,0.38321167883211676,0.18783542039355994
"DP MEPS, epsilon = 3.0",0.8022741629816803,0.25829383886255924,0.3824561403508772,0.19499105545617174
"DP MEPS, epsilon = 1.0",0.8073278584965256,0.34408602150537637,0.431266846361186,0.28622540250447226
"DP MEPS, epsilon = 0.5",0.8316487681617183,0.34761321909424725,0.5503875968992248,0.25402504472271914
"Combined MEPS, k = 3 + epsilon = 0.5",0.7962728995578017,0.3027027027027027,0.3825136612021858,0.2504472271914132
"Combined MEPS, k = 3 + epsilon = 1.0",0.7943777637397347,0.316894018887723,0.383248730964467,0.2701252236135957
"Combined MEPS, k = 3 + epsilon = 3.0",0.7785849652558433,0.3066271018793274,0.34292035398230086,0.2772808586762075
"Combined MEPS, k = 5 + epsilon = 0.5",0.8111181301326595,0.32505643340857787,0.44036697247706424,0.25760286225402507
"Combined MEPS, k = 5 + epsilon = 1.0",0.8183828174352495,0.32748538011695905,0.47297297297297297,0.2504472271914132
"Combined MEPS, k = 5 + epsilon = 3.0",0.7747946936197094,0.34406623735050595,0.3541666666666667,0.334525939177102
