City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System,User_Token
City of Westminster,England,United Kingdom,SW1,51.5081,-0.1278,Europe/London,Trustmarque Solutions Ltd,Trustmarque Solutions Limited,AS196744 Capita Business Services Ltd,81b1aa34894c
Warangal,Telangana,India,506003,17.9958,79.5782,Asia/Kolkata,BSNL Internet,,AS9829 National Internet Backbone,b25628ac50c4
The Hague,South Holland,The Netherlands,2597,52.0705,4.3007,Europe/Amsterdam,GEMNET,Gemnet B.V.,,a4ebb260f0fb
Guangzhou,Guangdong,China,,23.1291,113.264,Asia/Shanghai,CERNET,,AS4538 China Education and Research Network Center,b1b97cebcfde
Perth,Western Australia,Australia,6112,-32.1893,115.9694,Australia/Perth,Australian Academic and Research Network,Murdoch Univ,AS7575 Australian Academic and Research Network (AARNet),f8a940424bf3
Kansas City,Missouri,United States,64121,39.0997,-94.5786,America/Chicago,"AT&T Services, Inc.",Private Customer - AT&T Internet Services,"AS7018 AT&T Services, Inc.",36ac733a642c
Miami,Florida,United States,33142,25.8119,-80.2318,America/New_York,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","AS20214 Comcast Cable Communications, LLC",3ac9fee491c4
Torreón,Coahuila,Mexico,27000,25.5397,-103.429,America/Monterrey,Uninet S.A. de C.V.,UNINET,AS8151 UNINET,abd8b9ef5a27
Palo Alto,California,United States,94304,37.412,-122.148,America/Los_Angeles,HP Inc.,HP Inc,,cf21835d06e2
Chuo,Tokyo,Japan,289-2614,35.6744,139.776,Asia/Tokyo,JR East Information Systems Company,JR East Japan Information Systems Company,AS131932 JR East Information Systems Company,ba385d1d4ed6
,,,,,,,,,,d495a639c108
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,c2e43ca8d99a
Seattle,Washington,United States,98108,47.6229,-122.337,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",,667f70261203
Geumsan-gun,Chungcheongnam-do,South Korea,327,36.1024,127.4829,Asia/Seoul,CMB,CMB Chungcheong Broadcasting,AS38133 CMB,bc799cfe7fb5
Chiyoda,Tokyo,Japan,100-8111,35.6906,139.77,Asia/Tokyo,DION (KDDI CORPORATION),KDDI,AS2516 KDDI CORPORATION,db4085cfbe81
Chennai,Tamil Nadu,India,600001,13.0518,80.2505,Asia/Kolkata,Dishnet Wireless Limited,Aircel Limited,,432a3be5f33c
Paris,Île-de-France,France,75000,48.8566,2.35222,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,SFR User Data,AS15557 Societe Francaise Du Radiotelephone - SFR SA,d019707f06f8
Abu Dhabi,Abu Dhabi,United Arab Emirates,,24.4539,54.3773,Asia/Dubai,Emirates Telecommunications Corporation,,AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC,ffeb9c05adde
Haddington,Scotland,United Kingdom,EH41,55.919,-2.7552,Europe/London,BorderLink Broadband Limited,,AS205847 GoFibre Holdings Limited,f4f4114906ee
Sekupang,Riau Islands,Indonesia,,1.115,103.975,Asia/Pontianak,PT Solnet Indonesia,,AS9422 PT SOLNET INDONESIA,ae8218bcb275
,,,,,,,,,,e8fa813cdd97
The Bronx,New York,United States,10467,40.8731,-73.8726,America/New_York,Cablevision Systems Corp.,Purdue Pharamacy,AS54004 Optimum WiFi,5863e68b1b4e
Mexico City,Mexico City,Mexico,11930,19.4036,-99.2421,America/Mexico_City,"Mexico Red de Telecomunicaciones, S. de R.L. de C.V.","Mexico Red de Telecomunicaciones, S. de R.L. de C.V","AS13591 Mexico Red de Telecomunicaciones, S. de R.L. de C.V.",b8dfa8cbee32
