City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System,IP_Masked
England,England,United Kingdom,SW1,51.5081,-0.1278,Europe/London,Trustmarque Solutions Ltd,Other,AS196744 Capita Business Services Ltd,185.xxx.xxx.xxx
South Holland,South Holland,The Netherlands,2597,52.0705,4.3007,Europe/Amsterdam,GEMNET,Other,,95.xxx.xxx.xxx
Missouri,Missouri,United States,64121,39.0997,-94.5786,America/Chicago,"AT&T Services, Inc.",Other,"AS7018 AT&T Services, Inc.",99.xxx.xxx.xxx
Florida,Florida,United States,33142,25.8119,-80.2318,America/New_York,"Comcast Cable Communications, LLC",Other,"AS20214 Comcast Cable Communications, LLC",50.xxx.xxx.xxx
California,California,United States,94304,37.412,-122.148,America/Los_Angeles,HP Inc.,HP Inc,,15.xxx.xxx.xxx
Tokyo,Tokyo,Japan,289-2614,35.6744,139.776,Asia/Tokyo,JR East Information Systems Company,Other,AS131932 JR East Information Systems Company,157.xxx.xxx.xxx
Ohio,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,11.xxx.xxx.xxx
Washington,Washington,United States,98108,47.6229,-122.337,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",,32.xxx.xxx.xxx
Tokyo,Tokyo,Japan,100-8111,35.6906,139.77,Asia/Tokyo,DION (KDDI CORPORATION),KDDI,AS2516 KDDI CORPORATION,125.xxx.xxx.xxx
Tamil Nadu,Tamil Nadu,India,600001,13.0518,80.2505,Asia/Kolkata,Dishnet Wireless Limited,Other,,175.xxx.xxx.xxx
Île-de-France,Île-de-France,France,75000,48.8566,2.35222,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,Other,AS15557 Societe Francaise Du Radiotelephone - SFR SA,79.xxx.xxx.xxx
New York,New York,United States,10467,40.8731,-73.8726,America/New_York,Cablevision Systems Corp.,Other,AS54004 Optimum WiFi,65.xxx.xxx.xxx
